,Required,process_1,process_2,process_3,process_4,process_5,process_6,process_7,process_8,process_9,process_10,process_11,process_12,process_13,process_14,process_15,process_16,process_17,process_18,process_19,process_20,process_21,process_22,process_23,process_24,process_25,process_26,process_27,process_28,process_29,process_30,process_31,process_32,process_33,process_34,process_35,process_36,process_37,process_38,process_39,process_40,process_41,process_42,process_43,process_44,process_45,process_46,process_47,process_48,process_49,process_50
Cost,,9,15,21,11,21,15,12,10,10,17,9,21,20,22,14,12,18,15,11,10,16,17,21,12,9,20,20,22,15,20,22,13,19,22,19,17,15,13,18,18,8,17,20,22,10,15,17,16,18,21
chemical_1,181,4,0,0,2,1,0,0,4,0,1,4,1,3,1,0,0,0,1,1,0,3,3,4,0,0,3,0,4,3,2,1,4,0,1,4,0,2,0,0,4,2,0,0,0,2,0,3,0,1,0
chemical_2,109,0,0,0,0,3,4,0,0,0,1,1,1,3,0,0,4,0,4,0,2,4,0,2,2,2,4,0,0,3,0,3,1,4,2,1,0,0,0,3,0,0,3,3,0,0,1,0,3,3,0
chemical_3,116,3,0,3,0,0,0,0,0,3,0,1,4,0,2,0,3,0,4,3,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,3,2,1,3,1,0,0,0,3,0
chemical_4,114,0,0,2,0,0,1,4,1,3,4,2,0,4,0,2,1,0,2,1,0,4,0,4,0,1,3,0,3,0,2,0,1,1,3,0,0,1,4,0,2,0,4,4,0,0,2,0,3,0,0
chemical_5,179,3,0,1,2,4,3,0,0,0,0,4,0,1,3,0,3,2,1,2,3,0,0,3,1,0,0,0,0,2,0,4,2,3,0,1,0,0,2,1,3,4,4,0,0,2,0,1,4,1,0
chemical_6,178,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,2,0,0,0,0,2,2,0,4,0,0,0,4,2,0,0,0,4,3,4,3,2,3,4,0,4,0,2,4
chemical_7,176,0,2,0,0,2,0,4,0,4,0,3,2,0,4,1,2,3,4,2,2,2,0,0,3,4,3,2,0,0,0,0,1,1,1,4,0,0,0,4,2,1,0,0,0,3,1,2,1,0,4
chemical_8,185,1,2,0,1,0,0,0,0,3,0,0,1,0,4,0,0,1,4,4,0,0,2,1,2,2,0,4,4,3,2,0,0,0,1,2,4,4,0,0,0,1,1,0,0,2,0,3,0,0,3
chemical_9,115,0,4,0,2,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,2,4,0,3,0,0,0,0,2,0,4,4,2,4,4,1,0,0,0,4,4,2,0,2,0,1,0,0,2,4,1
chemical_10,188,0,0,0,0,0,1,3,0,2,0,2,1,0,4,0,0,0,2,2,0,3,3,2,4,4,3,2,0,3,1,0,0,2,3,3,1,0,2,2,0,0,2,0,0,3,4,0,2,2,1
chemical_11,152,0,2,0,2,0,2,2,0,0,1,0,2,2,0,4,0,4,0,0,0,0,3,1,4,0,0,4,0,0,2,0,3,0,4,3,3,0,0,0,3,0,4,3,0,0,0,0,1,0,0
chemical_12,129,2,3,2,0,2,0,2,0,4,4,0,4,0,2,0,0,0,4,4,2,0,2,0,0,0,1,4,0,2,0,0,3,0,0,3,3,1,4,0,4,0,1,2,1,0,4,0,0,1,0
chemical_13,175,4,0,2,1,0,4,0,0,1,3,2,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,0,2,0,4,4,2,4,4,0,0,2,1,0,0,1,3,1,0,0,4
chemical_14,148,0,0,0,0,2,1,0,0,1,4,2,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,3,4,0,1,2,2,1,2,3,2,0,1,0,2,3,2,0,0,0,4
chemical_15,119,4,0,3,1,0,0,0,4,4,0,0,0,0,0,2,4,1,0,2,3,0,0,3,0,3,2,4,0,0,1,0,4,1,2,2,1,4,3,1,1,2,0,1,0,0,1,0,0,3,3
chemical_16,130,0,0,3,4,0,0,0,4,0,4,3,2,2,3,0,2,4,0,0,0,0,4,1,3,2,4,0,4,0,0,0,0,3,4,3,0,1,1,0,0,0,0,3,2,0,0,0,0,0,4
chemical_17,166,1,0,0,0,0,2,2,0,0,0,1,2,2,2,4,1,4,3,0,4,0,0,2,4,4,0,4,2,0,2,1,1,0,1,0,2,1,0,3,4,0,1,2,1,0,1,0,4,2,2
chemical_18,175,0,1,0,0,0,1,4,2,1,0,0,0,0,1,0,0,0,0,4,1,0,0,3,3,2,4,0,0,4,0,1,0,0,0,1,3,2,4,1,3,2,1,0,4,0,4,0,4,0,0
chemical_19,100,3,0,4,4,4,3,3,0,1,1,1,2,2,4,0,3,4,3,3,4,0,3,1,0,0,3,4,2,0,0,4,0,2,0,0,1,0,0,0,0,4,0,0,2,1,0,1,3,1,0
chemical_20,189,0,2,2,3,1,0,2,0,2,2,0,0,0,0,1,0,3,0,1,3,0,0,2,0,0,2,0,3,2,1,0,2,0,0,0,1,3,4,1,3,0,0,0,0,0,4,0,0,0,4
